#generation,max_fitness, avg_fitness, min_fitness, best A, best B, best C, best D, best_individual_gtype
----------------------------------------------
#   parents  xsite  gtype       A   B   C   D  fitness
51  (  0,  0)   0  [1000000111000010011110011011001111010001] +9.883  -8.867  +8.574  +3.086  +320.000
52  (  0,  0)   0  [1110010101001011101101000110101010100001] +4.492  -5.898  -0.391  +6.211  +293.333
53  (  0,  0)   0  [0110101000001010100011001110001001100110] -4.062  -5.957  +0.918  +8.652  +280.000
54  (  0,  0)   0  [1010010001000000001100101110100010001000] +5.586  -9.961  -5.879  -5.312  +280.000
55  (  0,  0)   0  [0100010101001010100011111111100010110101] -0.508  -5.957  +3.340  -5.762  +266.667
56  (  0,  0)   0  [1000101001011110101010010101011100011011] +9.023  -3.516  +7.988  +0.352  +240.000
57  (  0,  0)   0  [1010110111001000100100101101110011100001] +5.723  -5.293  -5.742  -6.289  +186.667
58  (  0,  0)   0  [0000111010001001100111000111011101010001] -9.141  -5.352  +0.430  +1.895  +173.333
59  (  0,  0)   0  [1011011111001000110100111010100001001010] +7.070  -5.195  -6.504  -7.754  +160.000
60  (  0,  0)   0  [1111110000001010110010000001001111100010] +3.125  -6.094  +9.844  +3.672  +160.000
61  (  0,  0)   0  [1001110011010010100001011010000011011010] +8.164  -0.957  -1.562  -7.129  +133.333
62  (  0,  0)   0  [1101000000000110000101000101000010101111] +2.480  -8.730  -0.488  -6.055  +133.333
63  (  0,  0)   0  [1111100000110000101100111010111010100010] +3.730  +0.254  -6.523  +6.172  +80.000
64  (  0,  0)   0  [1101101001010001101011011010101001101001] +1.523  -0.391  +1.484  +8.457  +66.667
65  (  0,  0)   0  [1000000100110011000110011110010011000011] +9.844  +0.645  +8.398  -7.461  +40.000
66  (  0,  0)   0  [0100001100001111011100010000010010000111] -0.176  -6.777  -7.539  -5.117  +13.333
67  (  0,  0)   0  [0000111101101100000010011001001110000001] -9.199  +7.480  +8.594  +4.961  +13.333
68  (  0,  0)   0  [0001001001110101010011100100010100001000] -7.793  +2.012  +4.395  -0.312  +13.333
69  (  0,  0)   0  [1000110111110010110010100110101100010110] +9.258  +1.074  +5.371  +0.527  +13.333
70  (  0,  0)   0  [0011101010110011000101000100101111011111] -6.504  +0.645  -0.566  +2.910  +13.333
71  (  0,  0)   0  [0001110010101101100110001101110101101101] -8.203  +7.148  +9.258  -1.445  +0.000
